senator_id,senator_name
angara_edgardo,"Angara, Edgardo"
aquino_noynoy,"Aquino, Benigno III (Noynoy)"
arroyo_joker,"Arroyo, Joker"
bautista_martin,"Bautista, Martin"
cantal_felix,"Cantal, Felix"
cayetano_alanpeter,"Cayetano, Alan Peter"
cayetano_joselito,"Cayetano, Joselito (Jojo)"
chavez_melchor,"Chavez, Melchor"
coseteng_nikki,"Coseteng, Anna Dominique (Nikki)"
defensor_mike,"Defensor, Michael (Mike)"
enciso_ruben,"Enciso, Ruben"
escudero_chiz,"Escudero, Francis (Chiz)"
estrella_antonio,"Estrella, Antonio"
gomez_richard,"Gomez, Richard"
honasan_gringo,"Honasan, Gregorio (Gringo)"
kiram_jamalul,"Kiram, Jamalul III"
lacson_ping,"Lacson, Panfilo (Ping)"
legarda_loren,"Legarda, Loren"
lozano_oliver,"Lozano, Oliver"
magsaysay_vic,"Magsaysay, Vicente (Vic)"
montano_cesar,"Montano, Cesar"
oreta_tessie,"Aquino-Oreta, Teresa (Tessie)"
orpilla_ed,"Orpilla, Eduardo"
osmena_john,"Osmena, John Henry"
pangilinan_kiko,"Pangilinan, Francis (Kiko)"
paredes_zosimo,"Paredes, Zosimo"
pichay_prospero,"Pichay, Prospero"
pimentel_koko,"Pimentel, Aquilino III (Koko)"
recto_ralph,"Recto, Ralph"
roco_sonia,"Roco, Sonia"
singson_chavit,"Singson, Luis (Chavit)"
sison_adrian,"Sison, Adrian"
sotto_tito,"Sotto, Vicente (Tito)"
trillanes_antonio_iv,"Trillanes, Antonio IV"
villar_manny,"Villar, Manuel Jr. (Manny)"
wood_victor,"Wood, Victor"
zubiri_migz,"Zubiri, Juan Miguel (Migz)"
revilla_bong,"Revilla, Ramon Jr. (Bong)"
estrada_jinggoy,"Estrada, Jinggoy"
defensorsantiago_miriam,"Defensor Santiago, Miriam"
drilon_frank,"Drilon, Frank"
enrile_juanponce_sr,"Enrile, Juan Ponce"
cayetano_pia,"Cayetano, Pia"
marcos_ferdinand_jr,"Marcos, Ferdinand Jr. (Bongbong)"
osmena_serge,"Osmena, Sergio III (Serge)"
lapid_lito,"Lapid, Lito"
guingona_teofisto_iii,"Guingona, Teofisto III"
hontiveros_risa,"Hontiveros, Risa"
biazon_rozzano_rufino,"Biazon, Rozzano Rufino"
devenecia_jose_iii,"De Venecia, Jose III"
remulla_gilbert_cesar,"Remulla, Gilbert Cesar"
lim_danilo,"Lim, Danilo"
querubin_ariel,"Querubin, Ariel"
pimentel_gwendolyn,"Pimentel, Gwendolyn"
acosta_nereus_jr,"Acosta, Nereus Jr."
lacson_alex,"Lacson, Alexander (Alex)"
tamano_adel,"Tamano, Adel"
osmena_emiliomario,"Osmena, Emilio Mario"
maza_liza,"Maza, Liza"
ocampo_saturnino,"Ocampo, Saturnino"
tatad_francisco,"Tatad, Francisco"
lozada_jose_apolinario_jr,"Lozada, Jose Apolinario Jr."
mitra_ramon,"Mitra, Ramon"
langit_rey,"Langit, Rey"
bello_silvestre_iii,"Bello, Silvestre III"
lao_yasmin,"Lao, Yasmin"
papin_imelda,"Papin, Imelda"
ople_susan,"Ople, Susan"
plaza_rodolfo,"Plaza, Rodolfo"
bautista_jv,"Bautista, J.V."
guico_ramon_jr,"Guico, Ramon Jr."
lambino_raul,"Lambino, Raul"
